emp_no,first_name,last_name,birth_date,from_date,to_date,title
" 52,283 ",Trygve,Krupka,1/20/65,3/11/94,1/1/99,Senior Staff
" 52,386 ",Adas,Denti,1/28/65,5/30/86,1/1/99,Senior Staff
" 52,590 ",Jouni,Munoz,1/21/65,10/7/96,1/1/99,Senior Staff
" 52,599 ",Augustine,Mungall,1/25/65,1/13/94,1/1/99,Senior Engineer
" 52,639 ",Arup,Colorni,1/9/65,2/5/96,1/1/99,Senior Staff
" 52,770 ",Shugo,Yurek,1/31/65,8/28/92,1/1/99,Senior Staff
" 52,778 ",Alain,Penn,1/15/65,5/3/86,1/1/99,Technique Leader
" 52,956 ",Khalil,Picci,1/31/65,3/21/87,11/24/98,Senior Engineer
" 52,970 ",Lobel,Werthner,1/22/65,3/17/88,1/1/99,Senior Engineer
" 53,278 ",Premsyl,Lortz,1/31/65,2/1/93,1/1/99,Senior Staff
" 53,314 ",Eberhardt,Carrera,1/6/65,2/23/99,1/1/99,Staff
" 53,431 ",Sham,Vasanthakumar,1/12/65,10/24/85,5/24/93,Senior Staff
" 53,499 ",Zdislav,Mandelberg,1/20/65,9/11/94,1/1/99,Senior Engineer
" 53,597 ",Jiafu,Marchegay,1/30/65,3/2/85,1/1/99,Senior Engineer
" 53,874 ",Bodo,Schade,1/23/65,2/14/86,1/1/99,Senior Staff
" 53,924 ",Arnould,Gaughan,1/27/65,1/23/91,1/1/99,Senior Engineer
" 54,198 ",Shaowen,Segond,1/1/65,1/6/86,1/1/99,Senior Engineer
" 54,632 ",Etsuo,Serot,1/19/65,6/14/89,1/1/99,Senior Staff
" 54,795 ",Sumant,Nergos,1/29/65,3/2/94,1/1/99,Senior Staff
" 54,800 ",Breannda,Cangellaris,1/13/65,1/27/00,1/1/99,Staff
" 55,640 ",Adit,Syrotiuk,1/25/65,7/16/93,1/1/99,Senior Engineer
" 55,687 ",Shih,Lindqvist,1/2/65,3/29/95,1/1/99,Senior Engineer
" 55,799 ",Jianwen,Litzler,1/23/65,6/17/87,1/1/99,Senior Engineer
" 55,857 ",Adin,Scallan,1/18/65,9/15/87,1/1/99,Senior Staff
" 56,105 ",Makato,Remmers,1/11/65,4/16/89,1/1/99,Senior Engineer
" 56,209 ",Remzi,Douceur,1/19/65,12/1/92,1/1/99,Senior Engineer
" 56,415 ",Sigeru,Nivat,1/30/65,10/24/91,1/1/99,Senior Staff
" 56,428 ",Olivera,Hanabata,1/27/65,11/10/86,1/1/99,Senior Staff
" 56,682 ",Roded,Picco,1/28/65,11/6/93,1/1/99,Assistant Engineer
" 56,829 ",Nagui,Gruenwald,1/9/65,6/14/97,1/1/99,Engineer
" 56,847 ",Menkae,Chinin,1/14/65,8/19/89,8/27/98,Senior Engineer
" 57,934 ",Sanjoy,Boudaillier,1/25/65,12/27/89,1/1/99,Senior Engineer
" 58,141 ",Bezalel,Karner,1/5/65,9/27/94,1/1/99,Staff
" 58,147 ",Shigenori,Sullins,1/9/65,2/24/88,1/1/99,Senior Staff
" 58,384 ",Mariusz,Vural,1/22/65,11/14/93,1/1/99,Senior Engineer
" 58,454 ",Ziya,Zambonelli,1/25/65,6/29/99,1/1/99,Engineer
" 58,497 ",Yechiam,Cairo,1/22/65,10/21/00,1/1/99,Senior Staff
" 58,819 ",Gennady,Liesche,1/4/65,12/2/87,1/1/99,Senior Staff
" 58,990 ",Palash,Trelles,1/4/65,11/18/98,1/1/99,Engineer
" 59,195 ",Ronnie,Pollock,1/8/65,6/19/90,1/1/99,Technique Leader
" 59,640 ",Zita,Hiltgen,1/18/65,1/26/99,1/1/99,Staff
" 59,869 ",Zsolt,Riefers,2/1/65,9/25/87,1/1/99,Senior Staff
" 59,966 ",Steen,Salvesen,1/28/65,2/3/93,1/1/99,Technique Leader
" 60,000 ",Heekeun,Emmart,1/16/65,9/23/95,1/1/99,Engineer
" 60,091 ",Surveyors,Bade,2/1/65,4/11/90,1/1/99,Senior Staff
" 60,238 ",Erzsebet,Claffy,1/23/65,2/19/99,1/1/99,Staff
" 60,559 ",Jeanna,Stemann,1/19/65,8/29/88,1/1/99,Senior Engineer
" 60,821 ",Moty,Mersereau,1/2/65,9/3/91,1/1/99,Senior Staff
" 60,845 ",Bedir,Siegrist,1/14/65,5/13/97,1/1/99,Engineer
" 60,875 ",Rildo,Masaki,1/21/65,1/14/90,1/1/99,Senior Engineer
" 60,959 ",Tetsushi,Sridhar,1/9/65,10/19/89,1/1/99,Senior Staff
" 61,147 ",Leszek,Werthner,1/30/65,3/3/99,1/1/99,Staff
" 61,253 ",Cheong,Uhrik,1/9/65,6/4/96,5/9/02,Senior Engineer
" 61,377 ",Dannz,Ohori,1/1/65,4/13/97,1/1/99,Senior Staff
" 61,541 ",Kasidit,Papsdorf,1/8/65,8/17/93,1/1/99,Senior Engineer
" 61,873 ",Woody,Rusmann,1/19/65,2/26/93,1/1/99,Engineer
" 62,033 ",Heeju,Cappelli,1/24/65,1/15/87,1/1/99,Senior Engineer
" 62,046 ",Karlis,Nanard,1/31/65,9/19/92,1/1/99,Senior Engineer
" 62,245 ",Adel,Bressoud,1/1/65,8/30/95,1/1/99,Engineer
" 63,294 ",Tetsushi,Tanemo,1/23/65,3/1/97,1/1/99,Senior Engineer
" 63,419 ",Hiroyasu,Seuren,1/14/65,3/5/89,1/1/99,Senior Engineer
" 63,441 ",Hinrich,Scallan,1/15/65,4/4/99,1/1/99,Staff
" 63,566 ",Heekeun,Slaats,1/31/65,1/12/99,1/1/99,Senior Staff
" 63,631 ",Falguni,Cherinka,1/22/65,10/15/87,1/1/99,Senior Engineer
" 63,706 ",Sedat,Itzigehl,1/26/65,7/31/97,1/1/99,Engineer
" 64,023 ",Laurentiu,Benzmuller,1/11/65,11/8/99,1/1/99,Senior Engineer
" 64,209 ",Golgen,Schoegge,1/24/65,2/26/88,1/1/99,Senior Staff
" 64,487 ",Tsutomu,Rebaine,1/27/65,9/17/86,1/1/99,Senior Engineer
" 64,532 ",Atilio,Segond,1/23/65,11/29/90,1/1/99,Senior Engineer
" 64,632 ",Zsolt,Brender,1/7/65,2/21/96,1/1/99,Senior Staff
" 64,790 ",Shin,Piveteau,1/29/65,4/19/85,1/1/99,Senior Engineer
" 64,828 ",Krister,Pappas,1/27/65,9/30/99,1/1/99,Staff
" 64,984 ",Eldridge,Eldridge,1/6/65,6/24/86,8/4/94,Senior Engineer
" 65,171 ",Jeane,Tasistro,1/25/65,7/6/94,1/1/99,Technique Leader
" 65,539 ",Aksel,Picaronny,1/23/65,1/27/91,1/1/99,Senior Engineer
" 65,883 ",Patricia,Pepe,1/7/65,4/19/91,1/1/99,Senior Staff
" 65,998 ",Mandell,Alameldin,1/9/65,4/8/89,1/1/99,Senior Staff
" 66,382 ",Domenico,Candan,1/4/65,7/13/97,1/1/99,Engineer
" 66,530 ",Dung,Leaver,1/29/65,4/4/98,1/1/99,Staff
" 66,643 ",Jianhao,Tomescu,1/18/65,8/26/96,1/1/99,Engineer
" 66,702 ",Deniz,Thibadeau,2/1/65,9/27/94,1/1/99,Senior Engineer
" 66,757 ",Yonghong,Baig,1/16/65,4/10/99,1/1/99,Staff
" 66,807 ",Aiman,Rosaz,1/21/65,5/22/90,1/1/99,Senior Engineer
" 67,320 ",Sadok,Lorys,1/18/65,5/10/87,1/1/99,Senior Staff
" 67,548 ",Fumitaka,Roohalamini,1/11/65,6/27/98,1/1/99,Staff
" 67,934 ",Aiman,Gargeya,1/7/65,3/7/85,1/1/99,Senior Engineer
" 68,416 ",Munenori,Debuse,1/27/65,11/8/90,1/1/99,Senior Engineer
" 68,608 ",Yucai,Seghrouchni,1/26/65,6/9/89,1/1/99,Senior Engineer
" 68,633 ",Chinhyun,Rassart,1/28/65,7/29/93,1/1/99,Senior Engineer
" 68,648 ",Jaques,DiGiano,1/25/65,4/1/92,1/1/99,Technique Leader
" 69,052 ",Shietung,Shrader,1/26/65,8/5/95,1/1/99,Senior Staff
" 69,219 ",Shuky,Redmiles,1/9/65,11/19/94,1/1/99,Senior Staff
" 69,867 ",Miyeon,Rothe,1/22/65,4/9/91,1/1/99,Senior Staff
" 69,878 ",Chinya,Cooke,1/24/65,1/29/97,1/1/99,Engineer
" 69,936 ",Lalit,Unni,1/23/65,12/6/98,1/31/99,Assistant Engineer
" 70,469 ",Tru,Miyakawa,1/12/65,9/3/90,1/1/99,Senior Staff
" 70,990 ",Arumugam,Nitta,1/22/65,3/23/90,1/1/99,Senior Engineer
" 71,066 ",Domenick,Basart,1/27/65,1/5/96,1/1/99,Senior Staff
" 71,141 ",Sajjad,Vitiello,1/2/65,2/17/92,1/1/99,Senior Staff
" 71,188 ",Pranjal,Schapiro,1/2/65,12/14/86,1/1/99,Senior Staff
" 71,243 ",Kinh,Buchter,1/10/65,3/29/86,1/1/99,Senior Engineer
" 71,334 ",Cathie,Peck,1/15/65,3/4/01,1/1/99,Senior Engineer
" 71,685 ",Kristinn,Olano,1/1/65,10/3/89,1/1/99,Senior Engineer
" 71,710 ",Hitomi,Takanami,1/31/65,12/15/97,1/1/99,Assistant Engineer
" 71,745 ",Adil,Laventhal,1/2/65,5/13/92,1/1/99,Engineer
" 72,190 ",Sajjad,Waeselynck,1/19/65,9/13/99,1/1/99,Engineer
" 72,194 ",Feiyu,Siepmann,1/26/65,10/1/98,1/1/99,Senior Engineer
" 72,232 ",Naraig,Veldwijk,1/10/65,7/10/89,1/1/99,Senior Engineer
" 72,640 ",Honglan,Hutton,1/24/65,10/4/93,1/1/99,Senior Engineer
" 72,918 ",Takahira,Szilard,1/22/65,1/16/88,1/1/99,Senior Staff
" 73,076 ",Froduald,Feldhoffer,1/22/65,3/16/93,1/1/99,Senior Engineer
" 73,233 ",Shigeo,Merey,1/15/65,7/30/85,1/1/99,Senior Engineer
" 73,516 ",Qingxiang,Badache,1/14/65,6/25/89,1/1/99,Senior Engineer
" 73,743 ",Anneke,Bernardeschi,1/15/65,11/1/99,10/15/00,Engineer
" 74,200 ",Holgard,Weiland,1/16/65,9/24/91,1/1/99,Senior Engineer
" 74,344 ",Hiroyasu,Provine,2/1/65,11/25/94,1/1/99,Engineer
" 74,668 ",Masako,Bonifati,1/1/65,4/9/87,1/1/99,Senior Staff
" 74,800 ",Yuuichi,Conde,1/25/65,3/8/89,1/1/99,Senior Engineer
" 75,354 ",Shuky,Jakobus,1/11/65,6/16/86,1/1/99,Senior Engineer
" 75,703 ",Kyoichi,Erman,1/8/65,7/25/96,1/1/99,Senior Engineer
" 76,189 ",Kolar,Hinsberger,1/2/65,10/20/86,1/1/99,Senior Engineer
